,points,points,points,average,average,average,games,games,games,price,price,price
season,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020
name,,,,,,,,,,,,
Gordon Hayward,1887.5,2042.0,2350.0,38.5,46.4,45.2,49.0,44.0,52.0,0.0,30.0,10.0
Gorgui Dieng,502.5,759.0,1633.0,11.4,20.0,25.9,44.0,38.0,63.0,0.0,0.0,0.0
Grant Riller,0.0,38.5,0.0,0.0,5.5,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Grant Williams,1625.5,864.5,846.5,21.1,13.7,12.3,77.0,63.0,69.0,0.0,0.0,0.0
Grayson Allen,1657.5,1251.0,665.0,25.1,25.0,17.5,66.0,50.0,38.0,0.0,0.0,0.0
Greg Brown III,664.0,0.0,0.0,13.8,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
Hamidou Diallo,1647.5,1566.5,812.0,28.4,30.1,17.7,58.0,52.0,46.0,0.0,0.0,0.0
Harrison Barnes,2805.5,2348.0,2349.5,36.4,40.5,32.6,77.0,58.0,72.0,10.0,3.0,6.0
Harry Giles III,0.0,419.0,932.0,0.0,11.0,20.3,0.0,38.0,46.0,0.0,0.0,0.0
Hassan Whiteside,2056.5,931.0,4098.0,31.6,25.9,61.2,65.0,36.0,67.0,0.0,64.0,4.0
Hassani Gravett,144.5,0.0,0.0,18.1,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Herbert Jones,2310.0,0.0,0.0,29.6,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0
Ignas Brazdeikis,475.5,223.5,33.5,11.3,17.2,3.7,42.0,13.0,9.0,0.0,0.0,0.0
Immanuel Quickley,2173.5,1494.0,0.0,27.9,23.3,0.0,78.0,64.0,0.0,0.0,0.0,0.0
Isaac Bonga,61.0,261.0,1067.5,4.1,6.5,16.2,15.0,40.0,66.0,0.0,0.0,0.0
Isaac Okoro,1547.5,1572.0,0.0,23.1,23.5,0.0,67.0,67.0,0.0,0.0,0.0,0.0
Isaiah Hartenstein,2028.0,867.5,391.0,29.8,18.9,17.0,68.0,46.0,23.0,0.0,0.0,0.0
Isaiah Jackson,908.5,0.0,0.0,25.2,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0
Isaiah Joe,412.5,316.0,0.0,7.5,7.7,0.0,55.0,41.0,0.0,0.0,0.0,0.0
Isaiah Livers,343.0,0.0,0.0,18.1,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
Isaiah Roby,1328.5,1560.0,-0.5,29.5,25.6,-0.2,45.0,61.0,3.0,0.0,0.0,0.0
Isaiah Stewart,2242.0,1969.0,0.0,31.6,29.0,0.0,71.0,68.0,0.0,6.0,0.0,0.0
Isaiah Todd,55.0,0.0,0.0,4.6,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
Ish Smith,1434.0,1077.5,2240.0,22.1,24.5,32.9,65.0,44.0,68.0,0.0,0.0,0.0
Ish Wainright,314.5,0.0,0.0,7.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0
Ivica Zubac,2808.0,2237.0,2150.5,36.9,31.1,29.9,76.0,72.0,72.0,1.0,2.0,0.0
JT Thor,236.0,0.0,0.0,7.2,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Ja Morant,3614.0,3100.0,3210.0,63.4,49.2,47.9,57.0,63.0,67.0,69.0,54.0,5.0
JaMychal Green,1247.0,1231.5,1319.5,18.6,21.2,20.9,67.0,58.0,63.0,0.0,0.0,0.0
JaQuori McLaughlin,3.5,0.0,0.0,0.9,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
JaVale McGee,2112.5,1066.5,1698.0,28.5,23.2,25.0,74.0,46.0,68.0,0.0,11.0,2.0
Jabari Parker,126.5,188.0,1299.5,10.5,14.5,34.2,12.0,13.0,38.0,0.0,1.0,2.0
Jaden McDaniels,1684.0,1297.5,0.0,24.1,20.6,0.0,70.0,63.0,0.0,0.0,0.0,0.0
Jaden Springer,12.5,0.0,0.0,6.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Jae Crowder,1827.0,1580.0,1967.0,27.3,26.3,30.3,67.0,60.0,65.0,0.0,1.0,0.0
Jae'Sean Tate,2594.0,2318.5,0.0,33.3,33.1,0.0,78.0,70.0,0.0,0.0,0.0,0.0
Jahlil Okafor,0.0,341.0,693.5,0.0,12.6,23.1,0.0,27.0,30.0,0.0,0.0,0.0
Jahmi'us Ramsey,109.0,88.5,0.0,5.7,6.8,0.0,19.0,13.0,0.0,0.0,0.0,0.0
Jaime Echenique,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jake Layman,188.5,585.0,445.0,5.5,13.0,19.3,34.0,45.0,23.0,0.0,0.0,0.0
Jakob Poeltl,3441.0,2627.0,1787.0,50.6,38.1,27.1,68.0,69.0,66.0,20.0,0.0,0.0
Jalen Brunson,3207.0,2080.0,1258.0,40.6,30.6,22.1,79.0,68.0,57.0,0.0,0.0,0.0
Jalen Green,2201.5,0.0,0.0,32.9,0.0,0.0,67.0,0.0,0.0,26.0,0.0,0.0
Jalen Johnson,109.5,0.0,0.0,5.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
