name,season,fp,games,pergfp,price,fppd
Lou Williams,2010-2011,2212.0,75,29.5,,
Lou Williams,2014-2015,2362.0,80,29.5,,
Lou Williams,2011-2012,2128.5,64,33.3,,
Lou Williams,2015-2016,2058.0,67,30.7,,
Lou Williams,2013-2014,1406.0,58,24.2,,
Lou Williams,2012-2013,1227.5,39,31.5,,
Louis King,2019-2020,50.0,10,5.0,,
Louis King,2020-2021,135.0,6,22.5,,
Louis King,2021-2022,96.5,10,9.6,,
Luguentz Dort,2019-2020,554.5,36,15.4,,
Luguentz Dort,2020-2021,1448.5,52,27.9,,
Luguentz Dort,2021-2022,1669.0,51,32.7,,
Luka Doncic,2021-2022,4958.0,65,76.3,216.0,23.0
Luka Doncic,2020-2021,4713.5,66,71.4,194.0,24.3
Luka Doncic,2018-2019,3922.0,72,54.5,,
Luka Doncic,2019-2020,4702.5,61,77.1,120.0,39.2
Luka Garza,2021-2022,494.5,32,15.5,,
Luka Samanic,2019-2020,49.5,3,16.5,,
Luka Samanic,2020-2021,299.0,33,9.1,,
Luke Kennard,2021-2022,1845.5,70,26.4,,
Luke Kennard,2020-2021,1210.5,63,19.2,11.0,110.0
Luke Kennard,2019-2020,989.0,28,35.3,,
Luke Kennard,2018-2019,1338.0,63,21.2,,
Luke Kennard,2017-2018,1351.5,73,18.5,,
MJ Walker,2021-2022,6.5,2,3.2,,
Mac McClung,2021-2022,18.0,2,9.0,,
Malachi Flynn,2020-2021,985.5,47,21.0,,
Malachi Flynn,2021-2022,542.5,44,12.3,,
Malcolm Brogdon,2021-2022,1765.0,36,49.0,24.0,73.5
Malcolm Brogdon,2020-2021,2890.5,56,51.6,27.0,107.1
Malcolm Brogdon,2019-2020,2477.0,54,45.9,3.0,825.7
Malcolm Brogdon,2018-2019,2355.5,64,36.8,,
Malcolm Brogdon,2017-2018,1518.5,48,31.6,,
Malcolm Brogdon,2016-2017,2252.5,75,30.0,,
Malik Beasley,2016-2017,169.5,22,7.7,,
Malik Beasley,2017-2018,447.0,62,7.2,,
Malik Beasley,2018-2019,1884.0,81,23.3,,
Malik Beasley,2019-2020,1247.0,55,22.7,,
Malik Beasley,2020-2021,1419.5,37,38.4,,
Malik Beasley,2021-2022,1886.5,79,23.9,,
Malik Fitts,2021-2022,57.5,15,3.8,,
Malik Fitts,2020-2021,7.0,3,2.3,,
Malik Monk,2017-2018,830.0,63,13.2,,
Malik Monk,2018-2019,1312.0,73,18.0,,
Malik Monk,2019-2020,1225.0,55,22.3,,
Malik Monk,2020-2021,976.5,42,23.2,,
Malik Monk,2021-2022,2393.0,76,31.5,,
Mamadi Diakite,2020-2021,151.5,14,10.8,,
Mamadi Diakite,2021-2022,198.5,13,15.3,,
Marcus Garrett,2021-2022,84.0,12,7.0,,
Marcus Morris Sr.,2020-2021,1577.5,57,27.7,3.0,525.8
Marcus Morris Sr.,2021-2022,1739.0,54,32.2,,
Marcus Morris Sr.,2019-2020,2130.0,62,34.4,1.0,2130.0
Marcus Morris Sr.,2017-2018,1566.5,54,29.0,,
Marcus Morris Sr.,2016-2017,2469.5,79,31.3,,
Marcus Morris Sr.,2018-2019,2363.5,75,31.5,,
Marcus Morris Sr.,2014-2015,2099.0,81,25.9,,
Marcus Morris Sr.,2013-2014,1777.5,80,22.2,,
Marcus Morris Sr.,2012-2013,1370.0,77,17.8,,
Marcus Morris Sr.,2011-2012,76.0,17,4.5,,
Marcus Morris Sr.,2015-2016,2552.5,79,32.3,,
Marcus Smart,2021-2022,2638.5,71,37.2,1.0,2638.5
Marcus Smart,2020-2021,1855.0,48,38.6,11.0,168.6
Marcus Smart,2019-2020,2243.5,60,37.4,,
Marcus Smart,2018-2019,2356.5,80,29.5,,
Marcus Smart,2016-2017,2557.5,79,32.4,,
Marcus Smart,2015-2016,1687.0,61,27.7,,
Marcus Smart,2014-2015,1645.5,67,24.6,,
Marcus Smart,2017-2018,1575.5,53,29.7,,
Markelle Fultz,2021-2022,591.0,18,32.8,,
Markelle Fultz,2017-2018,358.0,14,25.6,,
Markelle Fultz,2018-2019,473.5,19,24.9,,
Markelle Fultz,2019-2020,2496.5,72,34.7,,
Markelle Fultz,2020-2021,282.0,8,35.2,30.0,9.4
Markieff Morris,2018-2019,1370.0,58,23.6,,
Markieff Morris,2017-2018,2164.0,73,29.6,,
Markieff Morris,2020-2021,1078.5,61,17.7,,
Markieff Morris,2019-2020,1248.0,58,21.5,,
Markieff Morris,2016-2017,2672.5,76,35.2,,
Markieff Morris,2021-2022,285.0,17,16.8,,
Markieff Morris,2014-2015,3124.0,82,38.1,,
Markieff Morris,2013-2014,2728.0,79,34.5,,
Markieff Morris,2012-2013,2011.5,82,24.5,,
Markieff Morris,2011-2012,1294.0,63,20.5,,
Markieff Morris,2015-2016,1838.5,64,28.7,,
Marko Simonovic,2021-2022,37.0,9,4.1,,
Markus Howard,2021-2022,213.5,31,6.9,,
Markus Howard,2020-2021,176.0,37,4.8,,
Marques Bolden,2019-2020,5.0,1,5.0,,
Marques Bolden,2020-2021,27.5,6,4.6,,
Marquese Chriss,2016-2017,1912.5,82,23.3,,
Marquese Chriss,2017-2018,1675.0,72,23.3,,
Marquese Chriss,2018-2019,493.5,43,11.5,,
Marquese Chriss,2019-2020,1873.0,59,31.7,,
Marquese Chriss,2020-2021,40.0,2,20.0,1.0,40.0
Marquese Chriss,2021-2022,447.5,34,13.2,,
Marvin Bagley III,2018-2019,2446.0,62,39.5,,
Marvin Bagley III,2019-2020,473.0,13,36.4,57.0,8.3
Marvin Bagley III,2020-2021,1539.0,43,35.8,15.0,102.6
Marvin Bagley III,2021-2022,1432.5,48,29.8,,
Mason Plumlee,2021-2022,2274.5,73,31.2,4.0,568.6
Mason Plumlee,2020-2021,2351.5,56,42.0,,
Mason Plumlee,2019-2020,1557.0,61,25.5,,
Mason Plumlee,2018-2019,2586.5,82,31.5,,
Mason Plumlee,2016-2017,3201.5,81,39.5,,
Mason Plumlee,2015-2016,2850.0,82,34.8,,
Mason Plumlee,2014-2015,2256.5,82,27.5,,
Mason Plumlee,2013-2014,1522.5,68,22.4,,
Mason Plumlee,2017-2018,1958.0,74,26.5,,
Matisse Thybulle,2019-2020,1120.0,65,17.2,,
Matisse Thybulle,2020-2021,1176.0,65,18.1,,
Matisse Thybulle,2021-2022,1468.5,66,22.2,,
Matt Ryan,2021-2022,4.5,1,4.5,,
Matt Thomas,2019-2020,424.0,41,10.3,,
Matt Thomas,2020-2021,263.5,45,5.9,,
Matt Thomas,2021-2022,340.0,40,8.5,,
Maurice Harkless,2018-2019,1520.0,60,25.3,,
Maurice Harkless,2021-2022,607.0,47,12.9,,
Maurice Harkless,2019-2020,1172.5,62,18.9,,
Maurice Harkless,2017-2018,1134.0,59,19.2,,
Maurice Harkless,2020-2021,591.5,37,16.0,,
Maurice Harkless,2015-2016,1436.0,78,18.4,,
Maurice Harkless,2014-2015,478.0,45,10.6,,
Maurice Harkless,2013-2014,1629.0,78,20.9,,
Maurice Harkless,2016-2017,2178.0,77,28.3,,
Maurice Harkless,2012-2013,1827.5,76,24.0,,
Max Strus,2020-2021,448.5,39,11.5,,
Max Strus,2021-2022,1493.0,68,22.0,,
Max Strus,2019-2020,9.5,2,4.8,,
Maxi Kleber,2017-2018,1192.5,72,16.6,,
Maxi Kleber,2018-2019,1605.5,71,22.6,,
Maxi Kleber,2019-2020,1971.5,74,26.6,,
Maxi Kleber,2020-2021,1116.5,50,22.3,,
Maxi Kleber,2021-2022,1364.5,59,23.1,,
McKinley Wright IV,2021-2022,13.5,5,2.7,,
Mfiondu Kabengele,2019-2020,87.0,12,7.2,,
Mfiondu Kabengele,2020-2021,277.5,39,7.1,,
Micah Potter,2021-2022,34.5,3,11.5,,
Michael Carter-Williams,2018-2019,510.0,28,18.2,,
Michael Carter-Williams,2017-2018,881.5,52,17.0,,
Michael Carter-Williams,2016-2017,911.5,45,20.3,,
Michael Carter-Williams,2019-2020,1038.5,45,23.1,,
Michael Carter-Williams,2014-2015,2877.5,66,43.6,,
Michael Carter-Williams,2013-2014,3318.0,68,48.8,,
Michael Carter-Williams,2020-2021,855.5,31,27.6,,
Michael Carter-Williams,2015-2016,2052.0,54,38.0,,
Michael Porter Jr.,2020-2021,2785.5,61,45.7,26.0,107.1
Michael Porter Jr.,2021-2022,237.5,9,26.4,,
Michael Porter Jr.,2019-2020,1367.0,55,24.9,,
Mikal Bridges,2018-2019,2075.0,82,25.3,,
Mikal Bridges,2019-2020,2003.5,73,27.4,1.0,2003.5
Mikal Bridges,2020-2021,2600.5,72,36.1,20.0,130.0
Mikal Bridges,2021-2022,2897.5,82,35.3,5.0,579.5
Mike Conley,2015-2016,2365.0,56,42.2,,
Mike Conley,2020-2021,2248.0,51,44.1,13.0,172.9
Mike Conley,2019-2020,1565.0,47,33.3,58.0,27.0
Mike Conley,2018-2019,3669.0,70,52.4,,
Mike Conley,2017-2018,428.0,12,35.7,,
Mike Conley,2016-2017,3492.0,69,50.6,,
Mike Conley,2013-2014,3164.5,71,44.6,,
Mike Conley,2021-2022,2745.5,72,38.1,5.0,549.1
Mike Conley,2012-2013,3427.0,80,42.8,,
Mike Conley,2011-2012,2575.5,62,41.5,,
Mike Conley,2010-2011,3366.5,81,41.6,,
Mike Conley,2014-2015,2810.0,70,40.1,,
Mike Muscala,2019-2020,567.0,47,12.1,,
Mike Muscala,2018-2019,1214.5,64,19.0,,
